date,code,name,close,ma_short,ma_long,raw_momentum,risk_adj_mom,trend_up,qdii_overdev,vol_percentile
2025-03-28,510300,沪深300ETF,3.797,3.8255,3.774,-0.32,-0.0229,False,False,44.9
2025-04-04,518880,黄金ETF,7.094,6.7712,6.4796,11.01,1.0661,True,False,38.3
2025-04-04,510880,红利ETF,2.974,2.9238,2.907,1.31,0.1762,True,False,38.3
2025-04-04,513500,标普500ETF,1.897,1.9582,2.0909,-7.71,-0.3607,False,False,38.3
2025-04-04,513180,恒生科技ETF,0.733,0.7844,0.7233,-0.68,-0.0241,False,False,38.3
2025-04-04,510300,沪深300ETF,3.748,3.8207,3.7682,-2.02,-0.1553,False,False,38.3
2025-04-11,518880,黄金ETF,7.273,6.9,6.5666,12.0,0.6792,True,False,89.4
2025-04-11,510880,红利ETF,2.88,2.92,2.8984,-1.67,-0.0672,False,False,89.4
2025-04-11,513500,标普500ETF,1.841,1.9139,2.0573,-7.73,-0.1342,False,False,89.4
2025-04-11,513180,恒生科技ETF,0.683,0.7472,0.728,-3.59,-0.0713,False,False,89.4
2025-04-11,510300,沪深300ETF,3.629,3.7573,3.7595,-3.09,-0.1041,False,False,89.4
2025-04-18,518880,黄金ETF,7.583,7.0809,6.6807,13.83,0.7448,True,False,87.2
2025-04-18,510880,红利ETF,2.934,2.9207,2.9024,1.02,0.0407,True,False,87.2
2025-04-18,513500,标普500ETF,1.829,1.89,2.0311,-8.54,-0.1497,False,False,87.2
2025-04-18,513180,恒生科技ETF,0.669,0.7128,0.7347,-5.36,-0.1129,False,False,87.2
2025-04-18,510300,沪深300ETF,3.662,3.6976,3.7596,-2.53,-0.0911,False,False,87.2
2025-04-25,518880,黄金ETF,7.53,7.3,6.8077,11.68,0.3611,True,False,85.5
2025-04-25,510880,红利ETF,2.928,2.9166,2.905,0.2,0.008,True,False,85.5
2025-04-25,513500,标普500ETF,1.895,1.8511,2.0011,-5.87,-0.1,False,False,85.5
2025-04-25,513180,恒生科技ETF,0.693,0.6919,0.7397,-1.13,-0.0233,False,False,85.5
2025-04-25,510300,沪深300ETF,3.671,3.6623,3.7578,-1.88,-0.0693,False,False,85.5
2025-05-02,518880,黄金ETF,7.471,7.3724,6.8718,9.0,0.2778,True,False,84.1
2025-05-02,510880,红利ETF,2.895,2.9126,2.9042,-1.83,-0.0738,False,False,84.1
2025-05-02,513500,标普500ETF,1.9,1.8456,1.9858,-4.51,-0.0785,False,False,84.1
2025-05-02,513180,恒生科技ETF,0.698,0.6836,0.7428,-0.82,-0.0171,False,False,84.1
2025-05-02,510300,沪深300ETF,3.655,3.6442,3.7558,-1.96,-0.0725,False,False,84.1
2025-05-09,518880,黄金ETF,7.531,7.4947,6.9484,9.08,0.2923,True,False,3.4
2025-05-09,510880,红利ETF,2.927,2.9142,2.9044,1.46,0.1755,True,False,3.4
2025-05-09,513500,标普500ETF,1.942,1.8658,1.9684,1.79,0.044,False,False,3.4
2025-05-09,513180,恒生科技ETF,0.708,0.6882,0.7438,5.77,0.2083,False,False,3.4
2025-05-09,510300,沪深300ETF,3.734,3.6622,3.7545,3.1,0.3952,False,False,3.4
2025-05-16,518880,黄金ETF,7.177,7.5008,7.0056,1.2,0.036,False,False,9.4
2025-05-16,510880,红利ETF,2.963,2.9326,2.9085,1.46,0.1823,True,False,9.4
2025-05-16,513500,标普500ETF,2.012,1.9048,1.9532,2.48,0.06965,False,True,9.4
2025-05-16,513180,恒生科技ETF,0.717,0.7002,0.7429,0.97,0.037,False,False,9.4
2025-05-16,510300,沪深300ETF,3.778,3.707,3.7539,1.72,0.1964,False,False,9.4
2025-05-23,518880,黄金ETF,7.454,7.4217,7.0698,1.44,0.0468,True,False,14.7
2025-05-23,510880,红利ETF,2.98,2.9468,2.9177,2.23,0.2463,True,False,14.7
2025-05-23,513500,标普500ETF,1.986,1.9498,1.9399,2.85,0.1694,True,False,14.7
2025-05-23,513180,恒生科技ETF,0.707,0.711,0.7376,-1.59,-0.0653,False,False,14.7
