date,code,name,close,ma20,momentum,trend_up,selected
2024-03-22,510880,红利ETF,2.783,2.8176,-2.93,False,False
2024-03-22,513500,标普500ETF,1.837,1.7862,4.02,True,True
2024-03-22,513180,恒生科技ETF,0.469,0.4697,1.96,False,False
2024-03-22,510300,沪深300ETF,3.328,3.3278,1.87,True,False
2024-03-29,518880,黄金ETF,5.126,4.9064,9.84,True,True
2024-03-29,510880,红利ETF,2.787,2.809,-1.24,False,False
2024-03-29,513500,标普500ETF,1.856,1.8049,4.21,True,True
2024-03-29,513180,恒生科技ETF,0.474,0.4708,1.07,True,False
2024-03-29,510300,沪深300ETF,3.315,3.3364,-0.12,False,False
2024-04-05,518880,黄金ETF,5.231,4.9668,8.44,True,True
2024-04-05,510880,红利ETF,2.84,2.8008,-0.98,True,False
2024-04-05,513500,标普500ETF,1.802,1.8113,1.18,False,False
2024-04-05,513180,恒生科技ETF,0.469,0.4736,2.4,False,False
2024-04-05,510300,沪深300ETF,3.347,3.3408,0.48,True,True
2024-04-12,518880,黄金ETF,5.504,5.0943,13.02,True,True
2024-04-12,510880,红利ETF,2.879,2.8033,3.45,True,True
2024-04-12,513500,标普500ETF,1.802,1.8152,1.07,False,False
2024-04-12,513180,恒生科技ETF,0.471,0.4743,-4.07,False,False
2024-04-12,510300,沪深300ETF,3.255,3.3269,-2.95,False,False
2024-04-19,518880,黄金ETF,5.471,5.2373,12.11,True,True
2024-04-19,510880,红利ETF,3.023,2.855,9.02,True,True
2024-04-19,513500,标普500ETF,1.709,1.8049,-4.53,False,False
2024-04-19,513180,恒生科技ETF,0.445,0.4678,-7.1,False,False
2024-04-19,510300,沪深300ETF,3.32,3.319,-1.22,True,False
2024-04-26,518880,黄金ETF,5.329,5.3204,6.79,True,True
2024-04-26,510880,红利ETF,2.879,2.8848,3.75,False,False
2024-04-26,513500,标普500ETF,1.746,1.7814,-5.31,False,False
2024-04-26,513180,恒生科技ETF,0.502,0.4698,8.89,True,True
2024-04-26,510300,沪深300ETF,3.362,3.318,2.44,True,False
2024-05-03,518880,黄金ETF,5.286,5.3417,3.12,False,False
2024-05-03,510880,红利ETF,2.858,2.8922,2.55,False,False
2024-05-03,513500,标普500ETF,1.758,1.7708,-5.28,False,False
2024-05-03,513180,恒生科技ETF,0.5,0.4727,5.49,True,True
2024-05-03,510300,沪深300ETF,3.387,3.3269,2.17,True,True
2024-05-10,518880,黄金ETF,5.369,5.3484,0.0,True,False
2024-05-10,510880,红利ETF,2.927,2.9108,3.25,True,False
2024-05-10,513500,标普500ETF,1.799,1.7601,-0.77,True,False
2024-05-10,513180,恒生科技ETF,0.533,0.4874,13.16,True,True
2024-05-10,510300,沪深300ETF,3.447,3.3502,4.08,True,True
2024-05-17,518880,黄金ETF,5.416,5.3364,-0.66,True,False
2024-05-17,510880,红利ETF,2.945,2.9168,-0.47,True,False
2024-05-17,513500,标普500ETF,1.844,1.7706,5.92,True,True
2024-05-17,513180,恒生科技ETF,0.556,0.5072,22.74,True,True
2024-05-17,510300,沪深300ETF,3.465,3.387,5.13,True,False
2024-05-24,518880,黄金ETF,5.319,5.3482,1.66,False,False
2024-05-24,510880,红利ETF,2.953,2.9196,2.25,True,True
2024-05-24,513500,标普500ETF,1.818,1.7987,5.21,True,True
2024-05-24,513180,恒生科技ETF,0.514,0.528,10.3,False,False
2024-05-24,510300,沪深300ETF,3.391,3.4178,3.13,False,False
2024-05-31,518880,黄金ETF,5.343,5.3591,1.08,False,False
2024-05-31,510880,红利ETF,2.988,2.9498,4.55,True,True
2024-05-31,513500,标普500ETF,1.807,1.8163,2.79,False,False
2024-05-31,513180,恒生科技ETF,0.507,0.5334,1.4,False,False
2024-05-31,510300,沪深300ETF,3.371,3.428,-0.47,False,False
2024-06-07,518880,黄金ETF,5.399,5.3771,0.56,True,False
2024-06-07,510880,红利ETF,2.976,2.9649,1.67,True,True
2024-06-07,513500,标普500ETF,1.882,1.8352,4.61,True,True
2024-06-07,513180,恒生科技ETF,0.513,0.5296,-3.75,False,False
2024-06-07,510300,沪深300ETF,3.365,3.415,-2.38,False,False
2024-06-14,518880,黄金ETF,5.271,5.3566,-2.7,False,False
2024-06-14,510880,红利ETF,2.938,2.968,0.48,False,False
